,Amount_Requested,Interest_Rate,Loan_Length,Debt_To_Income_Ratio,Monthly_Income,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length,Fico_avg,Loan_Purpose_credit_card,Loan_Purpose_debt_consolidation,Loan_Purpose_educational,Loan_Purpose_home_improvement,Loan_Purpose_house,Loan_Purpose_major_purchase,Loan_Purpose_medical,Loan_Purpose_moving,Loan_Purpose_other,Loan_Purpose_renewable_energy,Loan_Purpose_small_business,Loan_Purpose_vacation,Loan_Purpose_wedding,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,Home_Ownership_NONE,Home_Ownership_OTHER,Home_Ownership_OWN,Home_Ownership_RENT,ln_Interest_Rate
Amount_Requested,1.0,0.3307795387405487,0.41267802881973586,0.08202525372973431,0.45864663969354674,0.19489359579204055,0.34275503742989605,-0.02204520036042543,0.16505821812579388,0.08168391675379828,-0.009285150179020315,0.19156253897672454,-0.07046649015202144,0.02050114991705731,0.005537370479302738,-0.11111009076810524,-0.05223900011460904,-0.0653381913947494,-0.14633279055728987,-0.03984356141425565,0.017778366471667,-0.060090202986314734,-0.024480121740558983,0.005323320252156037,-0.03533922672155335,-0.0014311490025272738,-0.01241295684837973,-0.0029833355074399396,-0.004263093461357013,0.027241777692284735,-0.013438170607411648,-0.01474652912765258,0.023772775078558545,0.013663431252173702,-0.022861091179334304,0.01936608983468985,0.005855923150189311,-0.00931702445184421,-0.030925110323510023,0.06299319339293856,0.032233784677059805,0.021277994659497073,-0.0026014721582615003,0.023159548131445815,0.008872218284238216,-0.02010229351992357,-0.0011233921127205872,-0.021060490336504343,0.043542656273942826,-0.024221324044078642,0.011126494255251609,-0.009385554088591338,0.01611759078701774,-0.02217326682531891,0.004725723431859131,-0.01936673577392336,-0.0207373393724779,-0.009117841200967662,-0.027393682966927856,0.0112569561179577,0.011139347198056409,-0.029009505166534007,0.012010847705667743,0.03877658851857713,-0.004958299517886905,-0.025625983901175594,-0.011310644250394561,-0.026105482580217873,-0.019011606073179237,-0.015983600335895555,-0.03723913204743954,-0.13391146155717162,0.30199068174033095
Interest_Rate,0.3307795387405487,1.0,0.42314741040350196,0.1730022005634215,0.03620592737577786,0.08304995413157205,0.08361057329618994,0.17040819996832865,0.052628542717417445,-0.7120082403336145,-0.0014145394260852743,0.13019942666084963,-0.03846578331925405,-0.08866122223316152,0.008394303464620344,-0.11158238442095231,-0.03727644139753958,0.012362225689079624,0.006912992479974265,-0.030727064485617864,-0.010026143240622263,-0.023689995710315798,-0.02949442451073283,0.0011395376909897183,0.002957303199895404,0.0029803947986404133,-0.014027003638641585,-0.005245064832469732,0.022758539979482042,0.010924489166759734,-0.019117128816746806,-0.005979525093315405,-0.02509348422504954,0.04896698480890877,0.00511161906533102,-0.02228548827185291,0.0002475626447022245,0.013742007033543493,-0.01574993285707219,0.04226520994724541,-0.01871050086261124,0.009263857387228496,0.04293939670575985,0.016821262777959815,-0.00772721007369665,0.012492377556329438,-0.029212940949971112,-0.016759437523670585,-0.01836351041883357,-0.013332285661487968,0.022055532906783457,0.012406396469842734,0.003282929545031327,-0.02978000852570012,0.015285119703446925,-0.011004258364114125,-0.02514275435375792,-0.0008815189971422514,-0.006930312654876013,-0.027106871980236345,0.02098018545184789,0.0011537227956028668,0.01097112658243704,0.04790604063443852,-0.003070733090764602,0.01942925737927686,0.01964056351572978,0.0039061104825333735,-0.027161109238446255,0.03214483897383982,-0.010484312264661538,0.0749923395169548,0.9824314945202791
Loan_Length,0.41267802881973586,0.42314741040350196,1.0,0.025449943005008514,0.10445087444313926,0.043536223568174645,0.08089402434768052,0.03155300229550437,0.0743831208855672,0.011663568489255375,-0.08936891682632846,0.06292308309333529,-0.028645540213083576,0.05131130180462107,0.0175392226387495,-0.02032592989110164,-0.02287423494277926,-0.01225152882134196,-0.02865723215303898,-0.021210850245519886,0.03128217441624481,-0.006390329395869262,-0.027688742780943496,0.013200624622362156,-0.02486440497709384,-0.007792956985192883,-0.03554963532467907,-0.021126303928219594,-0.006629992108159455,0.03781808484167373,0.021337731728601022,-0.023279694134477218,0.012546858323664343,0.019159658282857064,-0.010599057409713118,0.014048226766636186,0.009562549146945933,0.01479776541802157,0.019832812310993358,0.02254373855565578,-0.028722514732923362,0.024336821102052635,-0.01355575545734782,0.01320062462236182,0.014964331972460604,-0.010599057409713218,-0.009778362043726167,0.012067349309092668,0.008914171604770971,-0.01832226916275326,0.02890809713599428,0.008477405372510202,0.019500515169953263,-0.0032781553985716592,0.025391812824966883,-0.01399448535319049,-0.010280585622899213,0.021434075544055155,-0.028827312111565577,-0.02121085024551991,-0.03473078105048039,-0.030399260207940714,0.032824951259768226,0.04120562346610966,0.021107821753783753,0.021928158911367,0.021434075544056103,-0.0212108502455197,-0.010599057409713127,-0.002077594460475755,-0.03150526753847,-0.06442999878702128,0.3863420442660584
Debt_To_Income_Ratio,0.08202525372973431,0.1730022005634215,0.025449943005008514,1.0,-0.16949697033603614,0.3708450847247251,0.21963626060331623,0.012432021200088217,0.04918406843676307,-0.2187575667071639,0.09373526875685062,0.12675254796275728,-0.06666911427690045,-0.09878605878527658,-0.04421503912724315,-0.11214045617919245,-0.021717371121437,-0.01026575718728694,-0.04855267479648415,-0.01887973390736729,-0.0743764318302386,-0.04148680728297776,-0.02779618970181362,0.009836251725125079,-0.011260973161526069,-0.020173974994701947,-0.058152836625203506,0.016662877773460233,0.005625565054048003,-0.011778776160861384,-0.015417951262151942,0.011095335140664814,-0.0024023217275193957,0.0042165887386871785,-0.013880426503991662,-0.019727398425644655,0.013496194767054116,0.0012950107306253236,0.004792993298159265,0.007464887284194642,-0.03259282313532856,-0.018164195841678797,0.032493289208698956,0.040192116901080994,0.026875412586911614,-0.0028584908561738107,0.04217526400952193,-0.007189332202950128,-0.001716165384014719,-0.05458678389840326,0.037864532785602284,0.02710027615758922,-0.048453956723818435,0.033896011959653166,0.017772370204504066,-0.009077556452630855,0.006970574918341938,-0.007042902901198175,0.01438652624032634,0.008895099046578286,0.06349769476919802,-0.00658484228120658,0.0199888021511777,0.03485203276509499,0.012063001694105981,-0.0014991669790832248,0.06545337129235489,0.020499175844511424,-0.03846576354366284,-0.0029006202671648922,0.03404588695124298,-0.011685222752069829,0.17877152767964238
Monthly_Income,0.45864663969354674,0.03620592737577786,0.10445087444313926,-0.16949697033603614,1.0,0.22593219951279198,0.43474879274397443,0.03893604417203748,0.10941487285903188,0.11682981383074671,-0.04195204727029769,0.00822966525591679,-0.03420599284132143,0.09071422660138105,0.012568667038331942,0.027780306734943118,-0.020079600849553694,-0.008707448593669542,-0.04079719429876726,-0.04073722834390392,0.00828422419970037,0.018924958329112757,0.00032411476541451055,-0.02332228471405752,0.0050369288209519076,-0.0067062525075559055,0.016501371801419158,-0.022768142265297976,-0.01601998075160784,0.04622433042474943,0.0029867627555852008,-0.014456144646256169,0.040661113331812514,-0.011136867894025182,-0.012056967813989827,0.003042241573579413,-0.020891642513397937,-0.024073414281147065,-0.03882499385146637,-0.0032940478531628026,0.015795702833444916,0.04465604756969122,-0.0362539394068479,-0.022846389348559402,-0.0327296837835136,0.0014599933619836025,-0.025140377464413406,-0.015290369976331463,0.05288427429659288,0.02994757276788421,-0.00870329240668974,-0.01839078670291516,0.0468753540563561,-0.024743664576277493,0.009136525991088109,-0.031073711394894756,-0.03237692310170917,0.014459862499469171,-0.002575971823592169,-0.013308350803674873,-0.009463705110458789,-0.017378439967789518,0.06541474727232482,0.004701619913802202,-0.019019799170039334,-0.01914917981491676,-0.032434836612421594,-0.009511572914886857,-0.003946778132102315,-0.0005571372265498437,-0.07872314785777633,-0.2104310607459435,0.014244571942061066
Open_CREDIT_Lines,0.19489359579204055,0.08304995413157205,0.043536223568174645,0.3708450847247251,0.22593219951279198,1.0,0.3148808453497237,0.10608558388596764,0.06702059910514746,-0.09126832281611981,0.07976950170030357,0.08874527655923714,-0.0246069372084719,-0.031754940485752337,-0.03288808693583027,-0.06839018086090397,-0.03406558614112781,-0.04910640956689027,-0.08222081647690627,-0.04164437977481072,-0.0506638493095648,-0.00010895598851007019,-0.02290721413168064,-0.017186322789972074,-0.01103825381648058,-0.028174504021551947,-0.03402130886172235,-0.004869825343745544,-0.004334810888786563,0.0019597692191838808,-0.012011450705073262,-0.0025203595993922444,-0.002907805424901925,0.015030632105240088,-0.009382825329191402,0.0017022718040593326,0.02862157983894156,-0.010123293167692308,-0.03466765719804392,-0.0021153559716727394,-0.004806544194310506,-0.007636003490779751,0.010053199335819857,0.004477360398583944,0.009015179729097631,0.059178349621057766,-0.017935850092927058,-0.02452416592610575,-0.012772127085120497,-0.009591544367344995,-0.01103825381648078,0.012448272622895079,0.0176772579688123,0.02159633857690346,-0.010123293167692202,-0.019796047298254495,0.012333600789370246,0.04166799948229565,-0.015179887251251627,0.01781100340395146,0.035130661904739,-0.004406645222131237,0.04830190941561788,-0.0025858118263949563,-0.01035913309787628,0.011376028154083341,0.02983318935894427,0.024671239924578127,-0.004812080332508229,0.040374669466559515,-0.01130610870905361,-0.15472414710537197,0.06833099652600563
Revolving_CREDIT_Balance,0.34275503742989605,0.08361057329618994,0.08089402434768052,0.21963626060331623,0.43474879274397443,0.3148808453497237,1.0,-0.018271396737611516,0.15542767596069104,-0.010874640928528691,0.10630401301847035,0.04959924274186537,-0.04159313161147205,-0.027629159158468204,-0.01964733999172175,-0.06891027383300846,-0.016880139580735122,-0.020276102452848485,-0.04797798049509619,-0.03356285594847367,-0.052767549511067886,-0.0006444079196831709,-0.02901669230460482,-0.013411852404711598,-0.016625295147630257,-0.010375111776001866,-0.004082362958209829,-0.024885406279588344,-0.007477161610451641,-0.008347633130964977,-0.0009934396921997578,0.03280102555662054,0.04227958092969531,-0.008055275813345517,-0.006769625922939281,0.00034990655461630425,-0.0006559983446521831,-0.031051571742586555,-0.01679565783757533,0.001364414649906568,-0.01186797042511548,-0.024734390787619836,-0.004135345207248733,0.009223302183888006,-0.007146320167358506,0.09194281200435896,0.043756206787806146,0.013334882259922277,0.049667058413530536,-3.3956516273047674e-05,0.017956663702679374,-0.00676042746973828,0.019423033092611126,-0.03736810955363907,-0.019684602009035924,-0.02666880615591159,-0.05537102539649708,0.022547085679065722,-0.03794311318774085,0.002260976137289471,-0.0186763310161597,0.016497962238604013,0.09320326920989054,0.04506253701714745,-0.006158790126102857,-0.00299848034920642,0.002709137907558133,-0.0012963801036432662,-0.0051740132134642,0.04589318558978401,-0.032363182360084994,-0.19924955699922847,0.07978930001002064
Inquiries_in_the_Last_6_Months,-0.02204520036042543,0.17040819996832865,0.03155300229550437,0.012432021200088217,0.03893604417203748,0.10608558388596764,-0.018271396737611516,1.0,-0.010297299399235118,-0.08895622866911347,-0.045441664633045636,-0.010891305811480241,0.05764260683442573,0.04584902508914848,0.01680360096938487,0.0044021578938621825,0.007749243946838769,0.017325801415466434,0.026847803549924946,-0.013550545444564304,0.018896059634360134,-0.006198337105543252,-0.01857645207441824,0.0009073217138403139,0.026682668898378236,-0.009841100855314451,-0.04704973908056255,0.02482249343272833,0.03173680206990598,-0.003972793472339727,0.005638469817508268,-0.006701676240666651,-0.019621403763463593,-0.043787384622270935,0.054562171291804705,0.04533425344643883,0.0641779899044927,0.005319881004361211,-0.005091246364389391,0.0018729429088199933,0.002690586627302786,-0.0005928217677205188,0.002930790237757454,-0.024868863338441075,0.03300125011406405,0.01951452786181706,-0.021252142869317068,-0.034898037414693474,0.007731659480939916,0.008617822937189826,0.0023229434214771137,-0.013605945779476608,-0.03245546051234448,0.04443680808070064,0.024516911187534254,-0.04052262449277352,0.05635679479765052,0.007731659480940271,-0.0060574404398303534,-0.022317720292237678,-0.00032166611458803233,-0.018378147507527563,0.011812300445759646,0.004454921058374297,-0.0032848360276697074,0.020563881150405378,0.02588109488220802,-0.022317720292237716,-0.0155331155681708,0.020141262813214676,-0.02231910505704358,-0.08214983505649678,0.17742682888333347
Employment_Length,0.16505821812579388,0.052628542717417445,0.0743831208855672,0.04918406843676307,0.10941487285903188,0.06702059910514746,0.15542767596069104,-0.010297299399235118,1.0,0.017157391015448147,0.025418031407242442,0.0616350519886818,-0.032328347608653704,0.02792038371529813,0.02048905358304154,-0.0642369364215265,-0.010085594272002693,-0.03287895532468045,-0.04984877189121197,-0.020398143400656234,-0.01254663402779128,-0.01294936660366365,-0.03580842213242541,0.028827628769219363,-0.013454279031676815,-0.03946282603900795,-0.0182324031821113,-0.05514596941500845,-0.02009921529264485,-0.020053207146855843,-0.014241295754152847,-0.020488287507029943,-0.002266370075515025,-0.0012323146427723546,0.026699526441138818,0.008298537827468642,-0.03556083586507535,-0.007776241562251043,0.03589342186355581,0.01328306043319624,-0.0012663638420271001,-0.005385784957024797,0.00492189236364024,0.04522801191726812,0.025095184043438447,-0.020522840805304417,0.02828438660531921,0.015308900297206923,0.01810827640257852,0.021829051631580672,0.045624815076975606,0.008129595428803447,-0.004127741233649793,0.05837013915976529,-0.0038963977811918367,0.04411471888364415,-0.02381580206632419,0.036448866952118006,-0.013852197346959453,-0.002679116819127211,-0.04775770490189289,-0.008331456404210085,-0.016422889636321707,-0.0062983511398943025,0.059860188682289574,-0.00278859965838907,-0.018572904696500227,0.015039909762401686,-0.026425636711109486,-0.0010144995124661267,-0.023650559956673207,-0.2258500716539516,0.036027378694369824
Fico_avg,0.08168391675379828,-0.7120082403336145,0.011663568489255375,-0.2187575667071639,0.11682981383074671,-0.09126832281611981,-0.010874640928528691,-0.08895622866911347,0.017157391015448147,1.0,-0.0839197812191729,-0.11385406610046228,0.035225038061745186,0.14506587267079274,0.024776590151164003,0.11651397355033453,0.02247647769053195,-0.008763329942178271,-0.0018508362138241875,0.02199062534214913,0.06755847127015213,0.023438336123295916,-0.007492205413948172,0.010375968145505933,-0.027512862928047235,0.009247951520401568,-0.01934173080480266,0.004420823451201415,-0.01897118700275735,-0.004357959972990695,0.021951452061342705,-0.007771109785142144,0.04036431551056122,-0.04013825769372592,-0.02643485646547065,0.022375962134569088,-0.01255075831369357,-0.0055748136585091245,0.02519930726053896,-0.016038249465835437,0.025524134890311346,0.0171875210991285,-0.060712972979478017,-0.010325531763908326,0.016627645111594605,-0.014919912672522979,0.025840255779676278,-0.0009837650636107646,0.04193343330817348,-0.01579079256250248,0.002099776217929329,-0.018869924837581844,0.009393134658019553,0.03708615795354727,-0.014404902722536543,0.015603907129403734,0.004928102057185617,0.005409948077619613,-0.012645601272844616,0.026311323499597583,0.004793953525023598,-0.03315098567163133,-0.0033964890411004125,-0.02565802268641034,0.005505391857628129,-0.022556211661864608,-0.01695136941047479,-0.03273821798553024,0.05416975008516456,-0.04240776130865256,0.0053978790645565445,-0.15243652026439455,-0.7441955006129892
